fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,symbol
2021-09-30,USD,20200000000,2217000000,None,19386000000,21176000000,2989000000,3223000000,17604000000,1429000000,20551000000,835000000,-20382000000,-4000000000,19748000000,19748000000,None,3640000000,3640000000,None,544000000,6470000000,None,-19204000000,None,653000000,None,20551000000,AAPL
2021-06-30,USD,21094000000,543000000,None,-2275000000,2422000000,2832000000,2093000000,869000000,-13000000,21744000000,3572000000,-29396000000,6000000000,22900000000,22900000000,None,3767000000,3767000000,None,0,0,None,-22900000000,None,21744000000,None,21744000000,AAPL
2021-03-31,USD,23981000000,708000000,None,-28280000000,-24501000000,2797000000,2269000000,-25584000000,276000000,23630000000,-10368000000,-11326000000,0,18548000000,18548000000,None,3447000000,3447000000,None,561000000,13923000000,None,-17987000000,None,23630000000,None,23630000000,AAPL
2020-12-31,USD,38763000000,619000000,None,30970000000,25615000000,2666000000,3500000000,21139000000,950000000,28755000000,-8584000000,-32249000000,44000000,24775000000,24775000000,None,3613000000,3613000000,None,0,0,None,-24775000000,None,-2070000000,None,28755000000,AAPL
2020-09-30,USD,20576000000,1127000000,None,12206000000,8329000000,2702000000,1784000000,5364000000,137000000,24689000000,5531000000,-21357000000,-7153000000,17187000000,17187000000,None,3511000000,3511000000,None,450000000,5456000000,None,-16737000000,None,24689000000,None,12673000000,AAPL
2020-06-30,USD,16271000000,388000000,None,-474000000,-44000000,2752000000,1565000000,1373000000,689000000,11253000000,-5165000000,-19116000000,-365000000,15891000000,15891000000,None,3656000000,3656000000,None,0,8425000000,None,-15891000000,None,10865000000,None,11253000000,AAPL
2020-03-31,USD,13311000000,353000000,None,-10207000000,-8205000000,2786000000,1853000000,-9290000000,-727000000,11249000000,9013000000,-20940000000,7550000000,18574000000,18574000000,None,3375000000,3375000000,None,428000000,0,None,-18146000000,None,10896000000,None,11249000000,AAPL
2019-12-31,USD,30516000000,1120000000,None,5410000000,1165000000,2816000000,2107000000,-5917000000,28000000,22236000000,-13668000000,-25407000000,-1958000000,20706000000,20706000000,None,3539000000,3539000000,None,2000000,2210000000,None,-20704000000,None,-8559000000,None,22236000000,AAPL
2019-09-30,USD,19910000000,860000000,None,22085000000,19925000000,3179000000,2777000000,19320000000,785000000,24313000000,-798000000,-21039000000,-7902000000,17444000000,17444000000,None,3479000000,3479000000,None,390000000,6963000000,None,-17054000000,None,24313000000,None,13686000000,AAPL
2019-06-30,USD,11636000000,801000000,None,-5496000000,-2698000000,2933000000,2000000000,214000000,-1502000000,10044000000,27502000000,-26804000000,-3980000000,16955000000,16955000000,None,3629000000,3629000000,None,1000000,0,None,-16954000000,None,10044000000,None,10044000000,AAPL
