fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol
2021-09-30,USD,35174000000,82688000000,53802000000,48186000000,23786000000,5616000000,5772000000,11388000000,659000000,-672000000,659000000,672000000,83360000000,-525000000,None,2989000000,23248000000,2697000000,672000000,20551000000,20656000000,23920000000,26909000000,20551000000,AAPL
2021-06-30,USD,35255000000,80769000000,51591000000,46179000000,24126000000,5412000000,5717000000,11129000000,719000000,-665000000,719000000,665000000,81434000000,189000000,None,2832000000,24369000000,2625000000,665000000,21744000000,22088000000,25034000000,27866000000,21744000000,AAPL
2021-03-31,USD,38079000000,88914000000,56819000000,51505000000,27503000000,5314000000,5262000000,10576000000,718000000,-670000000,718000000,670000000,89584000000,460000000,None,2797000000,28011000000,4381000000,670000000,23630000000,23165000000,28681000000,31478000000,23630000000,AAPL
2020-12-31,USD,44328000000,110801000000,72742000000,67111000000,33534000000,5631000000,5163000000,10794000000,747000000,-638000000,747000000,638000000,111439000000,-64000000,None,2666000000,33579000000,4824000000,638000000,28755000000,29340000000,34217000000,36883000000,28755000000,AAPL
2020-09-30,USD,24689000000,64698000000,44945000000,40009000000,14775000000,4936000000,4978000000,9914000000,768000000,-634000000,134000000,634000000,64698000000,-8000000,None,2702000000,14901000000,2228000000,634000000,24689000000,12817000000,15535000000,18237000000,12673000000,AAPL
2020-06-30,USD,22680000000,58988000000,41836000000,37005000000,13091000000,4831000000,4758000000,9589000000,901000000,-697000000,901000000,697000000,59685000000,-158000000,None,2752000000,13137000000,1884000000,697000000,11253000000,13492000000,13834000000,16586000000,11253000000,AAPL
2020-03-31,USD,22370000000,57556000000,40895000000,35943000000,12853000000,4952000000,4565000000,9517000000,1049000000,-757000000,1049000000,757000000,58313000000,-10000000,None,2786000000,13135000000,1886000000,757000000,11249000000,8878000000,13892000000,16678000000,11249000000,AAPL
2019-12-31,USD,35217000000,91034000000,61799000000,56602000000,25569000000,5197000000,4451000000,9648000000,1045000000,-785000000,1045000000,785000000,91819000000,89000000,None,2816000000,25918000000,3682000000,785000000,22236000000,22266000000,26703000000,29519000000,22236000000,AAPL
2019-09-30,USD,24313000000,64040000000,44305000000,39727000000,15625000000,4578000000,4110000000,8688000000,1106000000,-810000000,1106000000,810000000,64040000000,206000000,None,3179000000,16127000000,2441000000,810000000,24313000000,13741000000,16937000000,20116000000,13686000000,AAPL
2019-06-30,USD,20227000000,52943000000,38008000000,33582000000,11544000000,4426000000,4257000000,8683000000,1190000000,-866000000,1190000000,866000000,53809000000,43000000,None,2933000000,11911000000,1867000000,866000000,10044000000,10904000000,12777000000,15710000000,10044000000,AAPL
2019-03-31,USD,21821000000,57005000000,40652000000,36194000000,13415000000,4458000000,3948000000,8406000000,1358000000,-1010000000,1358000000,1010000000,58015000000,30000000,None,3040000000,13793000000,2232000000,1010000000,11561000000,13650000000,14803000000,17843000000,11561000000,AAPL
2018-12-31,USD,32031000000,83420000000,57062000000,52279000000,23346000000,4783000000,3902000000,8685000000,1307000000,-890000000,None,890000000,84310000000,143000000,None,3395000000,23906000000,3941000000,890000000,19965000000,19742000000,24796000000,28191000000,19965000000,AAPL
2018-09-30,USD,24084000000,62900000000,38816000000,38816000000,16118000000,4216000000,3750000000,7966000000,1311000000,-868000000,None,868000000,62900000000,-140000000,None,2754000000,16421000000,2296000000,868000000,24084000000,13782000000,17289000000,20043000000,14125000000,AAPL
2018-06-30,USD,20421000000,53265000000,32844000000,32844000000,12612000000,4108000000,3701000000,7809000000,1418000000,-846000000,None,846000000,53265000000,100000000,None,2665000000,13284000000,1765000000,846000000,11519000000,11472000000,14130000000,16795000000,11519000000,AAPL
2018-03-31,USD,23422000000,61137000000,37715000000,37715000000,15894000000,4150000000,3378000000,7528000000,1505000000,-792000000,None,792000000,61137000000,-439000000,None,2739000000,16168000000,2346000000,792000000,13822000000,11877000000,16960000000,19699000000,13822000000,AAPL
2017-12-31,USD,33912000000,88293000000,54381000000,54381000000,26274000000,4231000000,3407000000,7638000000,1452000000,-734000000,None,734000000,88293000000,38000000,None,2745000000,27030000000,6965000000,734000000,20065000000,19374000000,27764000000,30509000000,20065000000,AAPL
2017-09-30,USD,19931000000,52579000000,32648000000,32648000000,13120000000,3814000000,2997000000,6811000000,1368000000,-666000000,None,666000000,None,95000000,None,2484000000,13917000000,3203000000,666000000,19931000000,11109000000,14583000000,17067000000,10714000000,AAPL
2017-06-30,USD,17488000000,45408000000,27920000000,27920000000,10768000000,3783000000,2937000000,6720000000,1327000000,-602000000,None,602000000,None,-185000000,None,2354000000,11308000000,2591000000,602000000,17488000000,8594000000,11910000000,14264000000,8717000000,AAPL
2017-03-31,USD,20591000000,52896000000,32305000000,32305000000,14097000000,3718000000,2776000000,6494000000,1282000000,-530000000,None,530000000,None,-165000000,None,2332000000,14684000000,3655000000,530000000,20591000000,10362000000,15214000000,17546000000,11029000000,AAPL
2016-12-31,USD,30176000000,78351000000,48175000000,48175000000,23359000000,3946000000,2871000000,6817000000,1224000000,-525000000,None,525000000,None,122000000,None,2987000000,24180000000,6289000000,525000000,17891000000,17502000000,24705000000,27692000000,17891000000,AAPL
2021-09-30,USD,31671000000,44743000000,20145000000,13646000000,20238000000,5834000000,5599000000,12098000000,520000000,-539000000,520000000,539000000,45282000000,6000000,None,665000000,20524000000,19000000,539000000,20505000000,19966000000,21063000000,21728000000,20505000000,MSFT
2021-06-30,USD,32161000000,45595000000,22025000000,13991000000,19095000000,7379000000,5687000000,13721000000,497000000,-553000000,497000000,553000000,46148000000,22000000,None,655000000,19405000000,2947000000,553000000,16458000000,16818000000,19958000000,20613000000,16458000000,MSFT
2021-03-31,USD,28661000000,41059000000,20070000000,13045000000,17048000000,6409000000,5204000000,12229000000,519000000,-633000000,519000000,633000000,41692000000,6000000,None,616000000,17236000000,1779000000,633000000,15457000000,13552000000,17869000000,18485000000,15457000000,MSFT
2020-12-31,USD,28882000000,42558000000,20907000000,14194000000,17897000000,6086000000,4899000000,11612000000,545000000,-571000000,545000000,571000000,43129000000,70000000,None,627000000,18337000000,2874000000,571000000,15463000000,15720000000,18908000000,19535000000,15463000000,MSFT
2020-09-30,USD,26152000000,36724000000,16941000000,11002000000,15876000000,5350000000,4926000000,10865000000,570000000,-589000000,None,589000000,37313000000,0,None,589000000,16124000000,2231000000,589000000,13893000000,13807000000,16713000000,17302000000,13893000000,MSFT
2020-06-30,USD,25694000000,38033000000,20161000000,12339000000,13407000000,7073000000,5214000000,13036000000,595000000,-686000000,None,686000000,38033000000,0,None,588000000,13422000000,2220000000,686000000,13407000000,11712000000,14108000000,14696000000,11202000000,MSFT
2020-03-31,USD,24046000000,34315000000,17650000000,10975000000,12975000000,6184000000,4887000000,11562000000,673000000,-614000000,-153000000,614000000,34929000000,-3000000,None,491000000,12843000000,2091000000,614000000,10752000000,13683000000,13457000000,13948000000,10752000000,MSFT
2019-12-31,USD,24548000000,36322000000,18986000000,12358000000,13891000000,6054000000,4603000000,11231000000,688000000,-654000000,281000000,654000000,36976000000,-19000000,None,574000000,14085000000,2436000000,654000000,11649000000,11455000000,14739000000,15313000000,11649000000,MSFT
2019-09-30,USD,22649000000,32428000000,16363000000,10406000000,12686000000,5398000000,4565000000,10522000000,724000000,-637000000,-139000000,637000000,33065000000,-18000000,None,559000000,12686000000,2008000000,637000000,10678000000,10957000000,13323000000,13882000000,10678000000,MSFT
2019-06-30,USD,23305000000,33717000000,17199000000,10412000000,12405000000,6387000000,4513000000,11300000000,709000000,-669000000,321000000,669000000,33717000000,-121000000,None,400000000,12596000000,-591000000,669000000,12405000000,14112000000,13265000000,13665000000,13187000000,MSFT
2019-03-31,USD,20401000000,29993000000,16345000000,10170000000,10341000000,5744000000,4316000000,10491000000,668000000,-671000000,None,671000000,30664000000,16000000,None,431000000,10486000000,1677000000,671000000,8809000000,9557000000,11157000000,11588000000,8809000000,MSFT
2018-12-31,USD,20048000000,31796000000,18673000000,12423000000,10258000000,5720000000,4070000000,10320000000,704000000,-672000000,None,672000000,32468000000,34000000,None,530000000,10385000000,1965000000,672000000,8420000000,9022000000,11057000000,11587000000,8420000000,MSFT
2018-09-30,USD,19179000000,28615000000,15708000000,9905000000,9955000000,5247000000,3977000000,9780000000,681000000,-674000000,None,674000000,29289000000,14000000,None,556000000,10221000000,1397000000,674000000,8824000000,8463000000,10895000000,11451000000,8824000000,MSFT
2018-06-30,USD,20343000000,30085000000,34165000000,9742000000,10379000000,6031000000,3933000000,10464000000,636000000,-672000000,None,672000000,30085000000,-61000000,None,500000000,10680000000,1807000000,672000000,10379000000,7797000000,11352000000,11852000000,8873000000,MSFT
2018-03-31,USD,17550000000,26819000000,9269000000,9269000000,8292000000,5543000000,3715000000,9818000000,575000000,-691000000,None,691000000,-52000000,7000000,None,560000000,8641000000,1217000000,691000000,7424000000,6670000000,9332000000,9892000000,7424000000,MSFT
